product_id,item_name,price,gender,category,product_link,model_image_link,image_link,num_id
E461002-000,T-Shirt | V Neck | Short Sleeve,24.9,men,tops,https://www.uniqlo.com/us/en/products/E461002-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/461002/item/usgoods_00_461002_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/461002/sub/goods_461002_sub14_3x4.jpg,461002
E475380-000,Full-Zip Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475380-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/475380/sub/usgoods_475380_sub3_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475380/sub/goods_475380_sub14_3x4.jpg,475380
E465203-000,UV Protection Full-Zip Hoodie,24.9,men,tops,https://www.uniqlo.com/us/en/products/E465203-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/465203/item/usgoods_09_465203_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/465203/sub/goods_465203_sub14_3x4.jpg,465203
E476146-000,UV Protection Full-Zip Hoodie | Printed,24.9,men,tops,https://www.uniqlo.com/us/en/products/E476146-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/476146/sub/usgoods_476146_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476146/sub/goods_476146_sub14_3x4.jpg,476146
E471808-000,Oversized Pullover Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E471808-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/471808/item/usgoods_69_471808_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/471808/sub/goods_471808_sub14_3x4.jpg,471808
E475378-000,Pullover Hoodie,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475378-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/475378/item/usgoods_68_475378_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475378/sub/goods_475378_sub14_3x4.jpg,475378
E479799-000,Sweatshirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479799-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479799/item/usgoods_69_479799_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479799/sub/goods_479799_sub14_3x4.jpg,479799
E479849-000,Half-Zip Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479849-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479849/sub/usgoods_479849_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479849/sub/goods_479849_sub14_3x4.jpg,479849
E475377-000,Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E475377-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/475377/item/usgoods_69_475377_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/475377/sub/goods_475377_sub14_3x4.jpg,475377
E481040-000,Sweatshirt,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E481040-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481040/item/usgoods_69_481040_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481040/sub/goods_481040_sub14_3x4.jpg,481040
E479797-000,Sweatshirt,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479797-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479797/item/usgoods_69_479797_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479797/sub/goods_479797_sub14_3x4.jpg,479797
E471809-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E471809-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/471809/item/usgoods_69_471809_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/471809/sub/goods_471809_sub14_3x4.jpg,471809
E479803-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479803-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479803/item/usgoods_69_479803_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479803/sub/goods_479803_sub14_3x4.jpg,479803
E479789-000,Pile Lined Sweatpants,24.9,men,tops,https://www.uniqlo.com/us/en/products/E479789-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479789/item/usgoods_69_479789_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479789/sub/goods_479789_sub14_3x4.jpg,479789
E479803-000,Sweatpants,24.9,unisex,tops,https://www.uniqlo.com/us/en/products/E479803-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479803/item/usgoods_69_479803_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479803/sub/goods_479803_sub14_3x4.jpg,479803
E481118-000,Slayer: Kimetsu no Yaiba UT Graphic T-Shirt | Zenitsu,14.9,men,tops,https://www.uniqlo.com/us/en/products/E481118-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/481118/sub/usgoods_481118_sub5_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/481118/sub/goods_481118_sub14_3x4.jpg,481118
E474438-000,Slayer: Kimetsu no Yaiba UT Graphic T-Shirt | Tanjiro and Nezuko,14.9,men,tops,https://www.uniqlo.com/us/en/products/E474438-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/474438/item/usgoods_00_474438_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474438/sub/goods_474438_sub14_3x4.jpg,474438
E485080-000,Chainsaw Man UT Graphic T-Shirt | Reze Arc,14.9,men,tops,https://www.uniqlo.com/us/en/products/E485080-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485080/sub/usgoods_485080_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485080/sub/goods_485080_sub14_3x4.jpg,485080
E474439-000,Chainsaw Man UT Graphic T-Shirt | Denji,14.9,men,tops,https://www.uniqlo.com/us/en/products/E474439-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/474439/item/usgoods_00_474439_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/474439/sub/goods_474439_sub14_3x4.jpg,474439
E480696-000,PIECE UT Graphic T-Shirt | S-Clones,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480696-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480696/sub/usgoods_480696_sub1_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480696/sub/goods_480696_sub14_3x4.jpg,480696
E478827-000,PIECE UT Graphic T-Shirt | Kuma and Bonney,14.9,men,tops,https://www.uniqlo.com/us/en/products/E478827-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/478827/sub/usgoods_478827_sub1_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/478827/sub/goods_478827_sub14_3x4.jpg,478827
E480698-000,PIECE UT Graphic T-Shirt | The New Four Emperors,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480698-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480698/item/usgoods_00_480698_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480698/sub/goods_480698_sub14_3x4.jpg,480698
E480697-000,PIECE UT Graphic T-Shirt | Lucci and Zorro,14.9,men,tops,https://www.uniqlo.com/us/en/products/E480697-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/480697/sub/usgoods_480697_sub1_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/480697/sub/goods_480697_sub14_3x4.jpg,480697
E484291-000,Da Dan UT Graphic T-Shirt,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E484291-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484291/item/usgoods_69_484291_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/484291/sub/goods_484291_sub14_3x4.jpg,484291
E483933-000,curation UT Graphic T-Shirt | BERSERK,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E483933-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/483933/sub/usgoods_483933_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/483933/sub/goods_483933_sub14_3x4.jpg,483933
E484292-000,curation UT Graphic T-Shirt | BERSERK,14.9,unisex,tops,https://www.uniqlo.com/us/en/products/E484292-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/484292/sub/usgoods_484292_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/484292/sub/goods_484292_sub14_3x4.jpg,484292
E485290-000,ARCHIVE MoMA Collection Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485290-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485290/sub/usgoods_485290_sub5_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485290/sub/goods_485290_sub14_3x4.jpg,485290
E485278-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485278-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485278/sub/usgoods_485278_sub5_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485278/sub/goods_485278_sub14_3x4.jpg,485278
E485277-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485277-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485277/sub/usgoods_485277_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485277/sub/goods_485277_sub14_3x4.jpg,485277
E485275-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485275-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485275/sub/usgoods_485275_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485275/sub/goods_485275_sub14_3x4.jpg,485275
E485276-000,ARCHIVE MoMA Collection Graphic T-Shirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485276-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485276/sub/usgoods_485276_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485276/sub/goods_485276_sub14_3x4.jpg,485276
E485289-000,ARCHIVE MoMA Collection Sweatshirt,39.9,men,tops,https://www.uniqlo.com/us/en/products/E485289-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485289/sub/usgoods_485289_sub5_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/485289/sub/goods_485289_sub14_3x4.jpg,485289
E479779-000,Pokemon Sweatshirt | Mewtwo,39.9,men,tops,https://www.uniqlo.com/us/en/products/E479779-000,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/479779/sub/usgoods_479779_sub7_3x4.jpg,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/479779/sub/goods_479779_sub14_3x4.jpg,479779
